_id,options[0],options[1],options[2],options[3],category,question,answer,__v
66a5677c27fd1b5fd8cf419c,Falso,Verdadeiro,,,Processo de Software,"Julgue a frase como verdadeira ou falsa: “Existe um processo ideal, a maioria das organizações não precisam desenvolver os próprios processos de desenvolvimento de software”.",Falso,0
66a7f9fb38b1093974273da2,Falso,Verdadeiro,,,Processo de Software,“Um modelo de software é uma representação simplificada de um processo de software”. Determine se a frase é verdadeira ou falsa:,Verdadeiro,0
66a7fa1f38b1093974273da4,Flexibilidade extrema durante todo o ciclo de desenvolvimento,A capacidade de adaptar-se facilmente a mudanças de requisitos.,"Uma abordagem sequencial e linear, com fases bem definidas.",A priorização da entrega contínua de incrementos de software.,Processo de Software,Qual é uma característica central do modelo cascata na engenharia de software?,Letra C,0
66a7fa4538b1093974273da6,Implementação de todas as funcionalidades de uma vez,Abordagem linear e sequencial para o desenvolvimento,Entrega contínua de incrementos de software ao longo do tempo, Ênfase na documentação extensiva desde o início do projeto,Processo de Software,Qual é uma característica chave do modelo de desenvolvimento incremental na engenharia de software?,Letra C,0
66a7fa7838b1093974273da8,Reutilização de componentes de software existentes sempre que possível,Ênfase na criação de soluções específicas para cada problema,Desenvolvimento de software a partir do zero em cada projeto,Utilização exclusiva de metodologias ágeis para o desenvolvimento de software,Processo de Software,Qual é uma característica fundamental da engenharia de software orientada a reúso?,Letra A,0
66a7fa9738b1093974273daa, Análise e Definição de Requisitos,Implementação e teste unitário,Diagrama UML,Projeto de Sistema e Software,Processo de Software,"No modelo cascata, os serviços, restrições e metas do sistema são estabelecidos por meio de consulta aos usuários. Em seguida, eles são definidos em detalhes e funcionam como uma especificação do sistema. Este estágio é conhecido como:",Letra A,0
66a7fad738b1093974273dac,Análise e Definição de Requisitos,Diagrama UML,Projeto de Sistema e Software,Implementação e teste unitário,Processo de Software," No modelo cascata, o processo de projeto de sistemas aloca os requisitos tanto para sistemas de hardware como para sistemas de software, por meio da definição de uma arquitetura geral do sistema. Este estágio é conhecido como:",Letra D,0
66a7fb1f38b1093974273dae,Análise e Definição de Requisitos,Implementação e teste unitário,Diagrama UML,Projeto de Sistema e Software,Processo de Software,"No modelo cascata, o projeto de software é desenvolvido como um conjunto de programas ou unidades de programa. O teste unitário envolve a verificação de que cada unidade atenda a sua especificação. Este estágio é conhecido como:",Letra B,0
66a7fb3738b1093974273db0,Análise e Definição de Requisitos,Implementação e teste unitário,Integração e teste de sistema,Projeto de Sistema e Software,Processo de Software," No modelo cascata, as unidades individuais do programa ou programas são integradas e testadas como um sistema completo para assegurar que os requisitos do software tenham sido atendidos. Este estágio é conhecido como:",Letra C,0
66a7fb6038b1093974273db2,Análise e Definição de Requisitos,Implementação e teste unitário,Diagrama UML,Operação e Manutenção,Processo de Software," No modelo cascata, este estágio envolve a correção de erros que não foram descobertos em estágios iniciais do ciclo de vida, com melhora da implementação das unidades do sistema e ampliação de seus serviços. Este estágio é conhecido como:",Letra D,0
66a7fb9f38b1093974273db4,Desenvolvimento Incremental,Modelo Cascata,Modelo Espiral,Modelo RAD (Rapid Application Development),Processo de Software,"O desenvolvimento baseado na ideia de desenvolver uma implementação inicial, expô-la aos comentários dos usuários e continuar por meio da criação de várias versões até que um sistema adequado seja desenvolvido é conhecido como:",Letra A,0
66a7fc1038b1093974273dbd,É mais fácil obter feedback dos clientes sobre o desenvolvimento que foi feito.,É possível obter entrega e implementação rápida de um software útil ao cliente., O custo de acomodar as mudanças nos requisitos do cliente é reduzido.,Maior previsibilidade e controle sobre o processo de desenvolvimento.,Processo de Software, Qual dessas alternativas não é uma vantagem do desenvolvimento incremental:,Letra D,0
66a7fc5f38b1093974273dc1,Verificação de requisitos,Design arquitetônico,Análise de riscos,Análise de componentes,Processo de Software,"Qual é a etapa do processo de análise de componentes na engenharia de software, onde, após a especificação de requisitos, ocorre uma busca por componentes adequados para implementar essa especificação?",Letra D,0
66a7fc7b38b1093974273dc3,Análise de componentes,Verificação de requisitos,Design detalhado,Modelagem de requisitos,Processo de Software,"Qual é o estágio do processo de modificação de requisitos na engenharia de software, onde os requisitos são analisados com base nas informações Processo de Software 6 sobre os componentes descobertos, e então são ajustados para refletir os componentes disponíveis?",Letra D,0
66a7fc9c38b1093974273dc5,Análise de requisitos,Projeto do sistema com reúso,Implementação do sistema,Teste do sistema,Processo de Software,Durante qual estágio do processo de desenvolvimento de software o framework do sistema é projetado ou algo existente é reusado?,Letra B,0
66a7fcbb38b1093974273dc7,Análise de requisitos,Projeto detalhado,Desenvolvimento e integração,Teste do sistema,Processo de Software," Qual estágio do processo de desenvolvimento de software envolve o desenvolvimento de software para componentes que não podem ser adquiridos externamente, enquanto os sistemas COTS (Commercial OffThe-Shelf) são integrados para criar o novo sistema?",Letra C,0
66a7fcda38b1093974273dc9,Serviços Web,Protocolo SOAP,RESTful APIs,Microservices,Processo de Software,Qual é o termo usado para descrever os web services que são desenvolvidos de acordo com padrões de serviço e estão disponíveis para invocação remota?,Letra A,0
66a7fcf438b1093974273dcb,Bibliotecas de código,Componentes de software,Frameworks de desenvolvimento,Arquiteturas orientadas a serviço (SOA),Processo de Software,"Qual é o termo utilizado para descrever coleções de objetos que são desenvolvidos como um pacote para serem integrados com um framework de componentes, como .NET ou J2EE?",Letra B,0
66a8002f38b1093974273dda,Verdadeiro,Falso,,,Processo de Software,"Julgue a frase: “Os problemas do desenvolvimento incremental são particularmente críticas para os sistemas de vida-longa, grandes e complexos, nos quais várias equipes desenvolvem diferentes partes do sistema”.",Letra A,0
66a802b038b1093974273de9,Online, Stand-alone,Open-source,Cloud-based,Processo de Software, Qual é a principal característica dos sistemas de software configurados para uso em um ambiente particular?,Letra B,0
66a802c038b1093974273deb,Verdadeiro,Falso,,,Processo de Software,"Os processos reais de software são intercalados com sequências de atividades técnicas, de colaboração e de gerência, com o intuito de especificar, projetar, implementar e testar um sistema de software, essa afirmação é:",Letra A,0
66a802d738b1093974273ded, Em paralelo,De maneira iterativa,Em sequência,Aleatoriamente,Processo de Software,"No modelo em cascata, como são organizadas as quatro atividades básicas do processo: especificação, desenvolvimento, validação e evolução?",Letra C,0
66a8033a38b1093974273def,São intercaladas,São de maneira iterativa,São em sequência,São aleatorias,Processo de Software,Qual é a característica principal do desenvolvimento incremental em relação à organização das atividades básicas do processo?,Letra A,0
66a8035a38b1093974273df1,Em documentos extensos,Por meio de diagramas UML,Em cartões,Em linguagem de programação,Processo de Software,"No contexto do desenvolvimento de software, como são feitas as especificações no extreme programming (XP)?",Letra C,0
66a8037c38b1093974273df3,Realizado após a implementação do programa,Executado por uma equipe separada,Desenvolvido antes do próprio programa,Conduzido apenas no final do projeto,Processo de Software,Qual é uma característica do teste no extreme programming?,Letra C,0
66a803a538b1093974273df5,Desenvolvimento do sistema,Compreensão e definição dos serviços requisitados,Operação do sistema,Implementação do sistema,Processo de Software,Qual é o principal objetivo da especificação de software ou engenharia de requisitos?,Letra B,0
66a803bb38b1093974273df7,Por ser a última fase do desenvolvimento,Por não ter impacto no projeto,Por gerar problemas na implementação em caso de erros,Por ser uma etapa opcional,Processo de Software,Por que a engenharia de requisitos é considerada um estágio particularmente crítico no processo de software?,Letra C,0
66a803e738b1093974273df9,Apenas a implementação do sistema,Compreensão e definição dos serviços requisitados e identificação de restrições,Apenas a operação do sistema,Apenas a definição de restrições,Processo de Software,O que envolve o processo de especificação de software?,Letra B,0
66a8040838b1093974273dfb,Erros na engenharia de requisitos não têm impacto no projeto e na implementação,Erros na engenharia de requisitos geram impacto apenas no projeto,Erros na engenharia de requisitos geram impacto apenas na implementação,Erros na engenharia de requisitos inevitavelmente geram problemas no projeto e na implementação do sistema,Processo de Software,Qual é a relação entre erros na engenharia de requisitos e o impacto no projeto e na implementação do sistema?,Letra D,0
66a8042a38b1093974273dfd,Viabilidade do projeto,"Realismo, consistência e completude dos requisitos",Estimativa de tempo e custo,Tecnologias atuais de software e hardware,Processo de Software,O que é verificado durante a atividade de validação de requisitos?,Letra B,0
66a8044a38b1093974273dff, Como descrições detalhadas da funcionalidade a ser provida,Como observações dos sistemas existentes, Como declarações abstratas dos requisitos do sistema para o cliente e usuário final,Como verificações de possibilidade de satisfazer as necessidades do usuário,Processo de Software,Como os requisitos do usuário são definidos no processo de especificação de requisitos?,Letra C,0
66a8046738b1093974273e01,Derivar requisitos do sistema,Verificar a viabilidade do projeto,Traduzir as informações obtidas durante a análise em um documento,"Validar os requisitos quanto a realismo, consistência e completude",Processo de Software,Qual é o objetivo da especificação de requisitos no desenvolvimento de software?,Letra C,0
66a8048338b1093974273e03,Tradução das informações obtidas em documentos de requisitos,Observação dos sistemas existentes e discussões com potenciais usuários,"Verificação de requisitos quanto a realismo, consistência e completude",Validação dos requisitos do sistema para o cliente,Processo de Software,O que envolve a eliciação e análise de requisitos no processo de desenvolvimento de software?,Letra B,0
66a8049e38b1093974273e05,Verificação da viabilidade do projeto, Conversão de uma especificação do sistema, Elicitação de requisitos,Validação dos requisitos do sistema,Processo de Software,O que envolve o estágio de implementação no processo de desenvolvimento de software?,Letra B,0
66a804c338b1093974273e07,Definir as interfaces entre os componentes do sistema,Projetar as estruturas de dados do sistema,Identificar a estrutura geral do sistema e seus componentes principais,Projetar o funcionamento de cada componente do sistema,Processo de Software,Qual é o principal objetivo do projeto de arquitetura no desenvolvimento de software?,Letra C,0
66a804e238b1093974273e09,Estrutura geral do sistema,Funcionamento de cada componente do sistema,Interfaces entre os componentes do sistema,Estruturas de dados do sistema,Processo de Software,O que é definido no projeto de interface no desenvolvimento de software?,Letra C,0
66a8052c38b1093974273e0b, Identificação da estrutura geral do sistema, Definição das interfaces entre os componentes do sistema, Projeto do funcionamento de cada componente do sistema,Projetar as estruturas de dados do sistema,Processo de Software,O que é realizado no projeto de componente durante o desenvolvimento de software?,Letra D,0
66a8054a38b1093974273e0d, Projetar o funcionamento de cada componente do sistema,Identificar a estrutura geral do sistema, Definir as interfaces entre os componentes do sistema, Projetar as estruturas de dados do sistema e sua representação em um banco de dados,Processo de Software,Qual é o foco do projeto de banco de dados no desenvolvimento de software?,Letra D,0
66a8056938b1093974273e0f,Garantir que o software atenda apenas às suas especificações.,"Mostrar que o software se adequa às especificações, mas não necessariamente satisfaz as especificações do cliente.", Garantir que o software se adeque às suas especificações e satisfaça as especificações do cliente.,Demonstrar que as especificações do cliente são irrelevantes para o software.,Processo de Software,Qual é o propósito da validação de software?,Letra C,0
66a8071138b1093974273e1c,Integração de componentes para criar um sistema completo.,Teste dos componentes pelos desenvolvedores., Teste com dados fornecidos pelo cliente.,Simulação de dados.,Processo de Software,Qual é a característica principal do Teste de Desenvolvimento no processo de desenvolvimento de software?,Letra B,0
66a8072c38b1093974273e1e, Integração de componentes para criar um sistema completo.,Teste dos componentes pelos desenvolvedores,Teste com dados fornecidos pelo cliente.,Simulação de dados.,Processo de Software,O que é realizado durante o Teste do Sistema no desenvolvimento de software?,Letra A,0
66a8074a38b1093974273e20,Integração de componentes para criar um sistema completo.,Teste dos componentes pelos desenvolvedores.,Teste com dados fornecidos pelo cliente.,Simulação de dados.,Processo de Software,Qual é a ênfase do Teste de Aceitação no processo de desenvolvimento de software?,Letra C,0
66a807e638b1093974273e23,Para produzir softwares complexos,Para produzir softwares de longo prazo,Para produzir softwares úteis rapidamente,Para produzir softwares em grandes volumes,Desenvolvimento Ágil,Como os processos de desenvolvimento ágeis de software são concebidos?,Letra C,0
66a8080038b1093974273e25,Desenvolver o software como uma única unidade,Desenvolver o software como uma série de incrementos,Desenvolver o software em fases separadas, Desenvolver o software em grandes ciclos,Desenvolvimento Ágil,Qual é a abordagem em relação ao desenvolvimento de software nos processos ágeis?,Letra B,0
66a8082038b1093974273e27,São realizados de forma sequencial,São intercalados,São automatizados,São ignorados,Desenvolvimento Ágil," Como os processos de especificação, projeto e implementação são abordados no desenvolvimento ágil?",Letra B,0
66a8083938b1093974273e29,Em uma única versão, Em grandes ciclos,Em uma série de versões,Em fases separadas,Processo de Software, Como o desenvolvimento do sistema é realizado no desenvolvimento ágil?,Letra C,0
66a8085638b1093974273e2b,Não são envolvidos, Envolvidos apenas no início do projeto, Envolvidos apenas no final do projeto, Envolvidos na especificação e avaliação de cada versão,Processo de Software,Como os usuários finais e outros stakeholders são envolvidos durante o desenvolvimento do sistema?,Letra C,0
66a8087138b1093974273e2d,Por meio de uma abordagem de desenvolvimento tradicional,Usando uma linguagem de programação específica,Utilizando um sistema interativo de desenvolvimento, Ignorando completamente o design de interface,Desenvolvimento Ágil,Como são desenvolvidas as interfaces de usuários neste método?,Letra C,0
66a8088b38b1093974273e2f, Envolvimento do Cliente, Entrega Incremental,Pessoas e Não Processos,Manter a Simplicidade,Desenvolvimento Ágil,Qual é um dos princípios dos métodos ágeis que destaca a importância de manter a simplicidade no desenvolvimento de software?,Letra D,0
66a808ad38b1093974273e31,A ênfase deve estar em seguir processos rigorosos,A comunicação eficaz e a colaboração são mais importantes do que processos rígidos,As pessoas não são essenciais para o sucesso do projeto,Os processos devem ser priorizados em relação às pessoas,Desenvolvimento Ágil,"O princípio ""Pessoas e Não Processos"" dos métodos ágeis sugere que:",Letra B,0
66a808cd38b1093974273e33,Manter a Simplicidade, Pessoas e Não Processos,Entrega Incremental,Envolvimento do Cliente,Desenvolvimento Ágil,Como é chamado o princípio que promove a interação contínua e colaborativa entre a equipe de desenvolvimento e o cliente?,Letra D,0
66a808ea38b1093974273e35,Como documentos detalhados,Como diagramas UML,"Como cenários, chamados de estórias do usuário",Como especificações técnicas,Processo de Software,Como os requisitos são expressos em Extreme Programming (XP)?,Letra C,0
66a8090238b1093974273e37, Desenvolvem testes após escreverem o código,Desenvolvem testes antes de escreverem o código, Não desenvolvem testes,Delegam o desenvolvimento de testes a uma equipe separada,Desenvolvimento Ágil,O que os programadores em XP fazem em relação ao desenvolvimento de testes?,Letra B,0
66a8091a38b1093974273e39,Programadores trabalham individualmente,Todo o código produzido por um time deve ser produzido em duplas.,Programadores não interagem entre si,Programadores trabalham em equipes separadas,Desenvolvimento Ágil,O que significa trabalhar em pares em XP?,Letra B,0
66a8093638b1093974273e3b,Em documentos detalhados,Gravados em cartões de estória,Determinados aleatoriamente,Priorizados pelo cliente,Desenvolvimento Ágil,Como os requisitos são gerenciados no planejamento incremental?,Letra B,0
66a8095138b1093974273e3d,Desenvolvimento de funcionalidades complexas,Adição gradual de funcionalidades ao longo do tempo, Lançamento único e abrangente,Desenvolvimento baseado em grandes marcos,Desenvolvimento Ágil,O que caracteriza os pequenos releases no contexto do desenvolvimento de software?,Letra B,0
66a8097938b1093974273e3f,Desenvolvimento apenas para atender às necessidades atuais,Desenvolvimento para atender às necessidades futuras,Desenvolvimento baseado em documentos extensos,Desenvolvimento orientado por grandes metas,Desenvolvimento Ágil,Como é caracterizado um projeto simples no contexto do planejamento incremental?,Letra A,0
66a809a838b1093974273e41,Desenvolver o código antes de criar testes,Criar testes apenas após a implementação do código,Usar um framework de teste inicial automatizado para criar testes antes da implementação,Ignorar completamente a fase de testes,Desenvolvimento Ágil,". O que significa a prática ""test-first"" em relação ao desenvolvimento de software?",Letra C,0
66a809c538b1093974273e43,Refatoração é evitada para manter a complexidade do código,Apenas alguns desenvolvedores são responsáveis pela refatoração,Todos os desenvolvedores devem refatorar continuamente em busca de melhorias no código,Refatoração é realizada apenas no final do projeto,Desenvolvimento Ágil,Como é abordada a refatoração no contexto do desenvolvimento?,Letra C,0
66a809df38b1093974273e45,Cada desenvolvedor é responsável por uma área específica do sistema,Pares de desenvolvedores trabalham em áreas isoladas do sistema,Todos os conhecimentos e desenvolvedores assumem responsabilidade por todo o código, A responsabilidade pelo código é exclusiva do líder do projeto,Desenvolvimento Ágil,O que significa propriedade coletiva em XP?,Letra C,0
66a809f938b1093974273e47, A integração é realizada apenas no final do projeto,Apenas algumas partes específicas do código são integradas,"Assim que uma tarefa é concluída, ela é integrada ao sistema como um todo",A integração é realizada apenas em grandes marcos do projeto,Desenvolvimento Ágil,Como é caracterizada a integração contínua em XP?,Letra C,0
66a80a2338b1093974273e49,Horas extras são encorajadas para acelerar o desenvolvimento,Grandes quantidades de horas extras são consideradas aceitáveis, Evitar grandes quantidades de horas extras para manter a qualidade do código,Aumentar a produtividade a curto prazo,Desenvolvimento Ágil,Qual é a ênfase da prática de ritmo sustentável em XP?,Letra C,0
66a80a3f38b1093974273e4b,O cliente é excluído do processo de desenvolvimento,O cliente deve estar disponível ocasionalmente,Um representante do usuário final (cliente) está disponível todo o tempo para a equipe de XP,O cliente só aparece no final do projeto para aprovar o resultado final,Desenvolvimento Ágil,"O que significa ""cliente no local"" em XP?",Letra C,0
66a80a5c38b1093974273e4d,Rígido,Ágil,Tradicional,Desatualizado,Desenvolvimento Ágil,A abordagem Scrum é um método:,Letra B,0
66a80a7f38b1093974273e4f,Gerenciamento de projetos longos,Desenvolvimento rápido e contínuo,Planejamento detalhado inicial,Estrutura hierárquica rígida,Desenvolvimento Ágil,O foco do Scrum está no:,Letra B,0
66a80aa638b1093974273e51,Kanban,Waterfall,Extreme Programming (XP),Método Cascata,Desenvolvimento Ágil,"Scrum pode ser usado com abordagens ágeis mais técnicas, como:",Letra C,0
66a80ac838b1093974273e53,Flexível e adaptável,Rígido e inflexível,Baseado em planejamento detalhado,Estático e não iterativo,Desenvolvimento Ágil,Scrum fornece um framework de gerenciamento de projetos que é:,Letra A,0
66a80adb38b1093974273e55,Verdadeiro,Falso,,,Desenvolvimento Ágil,Julgue como verdadeiro ou falso a seguinte afirmação: “Scrum é exclusivamente focado em abordagens técnicas específicas da engenharia de software”.,Letra B,0
66a80b3438b1093974273e57,"Os sprints variam em duração, dependendo da necessidade do cliente.","Os sprints têm um comprimento fixo, geralmente entre duas a quatro semanas.",Os sprints são apenas uma fase inicial de planejamento no Scrum.,Os sprints são exclusivamente dedicados ao desenvolvimento de um release do sistema.,Desenvolvimento Ágil,"Sobre a característica dos sprints no Scrum, qual das seguintes afirmações está correta?",Letra B,0
66a80b4c38b1093974273e59, O backlog do sprint.,O backlog do produto.,O backlog do projeto.,O backlog do cliente.,Desenvolvimento Ágil,Qual é o ponto de partida para o planejamento no Scrum?,Letra B,0
66a80b6638b1093974273e5b,Desenvolvimento do software.,Identificação de riscos.,Seleção de recursos e funcionalidades,Realização de reuniões diárias.,Desenvolvimento Ágil,"Durante a fase de seleção no Scrum, o que a equipe do projeto faz em colaboração com o cliente?",Letra C,0
66a80b7e38b1093974273e5d,É ocultado dos stakeholders.,É revisado e apresentado aos stakeholders.,É repriorizado pelo Scrum Master,É deixado sem conclusão.,Desenvolvimento Ágil,"Ao final de um sprint no Scrum, o que acontece com o trabalho desenvolvido?",Letra B,0
66a80b9c38b1093974273e5f,Controlar o desenvolvimento do software,Tomar todas as decisões importantes.,Facilitar reuniões diárias e controlar o backlog de trabalho., Ignorar a comunicação com os clientes e a gerência externa à equipe.,Desenvolvimento Ágil,Qual é o papel do Scrum Master?,Letra C,0
66a80bbd38b1093974273e61,Porque o Scrum Master assume todas as responsabilidades do gerente de projeto.,Para enfatizar a distribuição de poder de decisão para toda a equipe,Porque o gerente de projeto não tem importância no desenvolvimento ágil de software.,") Porque o Scrum Master é apenas um membro da equipe, sem funções específicas.",Desenvolvimento Ágil,"Por que o termo ""gerente de projeto"" é evitado no Scrum? ",Letra B,0
66a80bd938b1093974273e63,Desenvolver o software e fazer comunicação externa.,Registrar decisões e controlar o backlog de trabalho., Evitar reuniões diárias e tomar todas as decisões importantes.,Delegar responsabilidades para outros membros da equipe.,Desenvolvimento Ágil,Quais são algumas das responsabilidades do Scrum Master?,Letra B,0
66a80bf838b1093974273e65,"Desenvolvimento incremental, releases frequentes, redução de overheads de processos e produção de códigos de baixa qualidade.","Desenvolvimento em larga escala, poucas iterações, documentação extensiva e baixa interação com o cliente","Desenvolvimento rápido, releases frequentes, foco em testes automatizados e envolvimento direto do cliente.","Desenvolvimento sequencial, releases espaçados, alta burocracia e envolvimento limitado do cliente.",Desenvolvimento Ágil, Quais são algumas características dos métodos ágeis?,Letra C,0
66a80c1538b1093974273e67,Integração de processos burocráticos.,Redução na qualidade do código.,Desenvolvimento de testes automatizados antes da implementação de um recurso,Envolvimento limitado do cliente na equipe de desenvolvimento,Desenvolvimento Ágil,Extreme Programming (XP) é um método ágil que se destaca por,Letra C,0
66a80c2638b1093974273e69, Um modelo de desenvolvimento sem iterações definidas.,"Um modelo centralizado em torno de sprints, períodos de tempo para o desenvolvimento de um incremento de sistema.", Um modelo sem planejamento prévio.,Um modelo sem qualquer forma de gerenciamento de projetos.,Desenvolvimento Ágil,Qual das afirmações define o método Scrum?,Letra B,0
66a80c5838b1093974273e6b,Facilita o desenvolvimento de código sem revisões.,Facilita o desenvolvimento de código sem propriedade coletiva.,Permite que outros membros da equipe se beneficiem imediatamente da refatoração.,Dificulta a colaboração entre os membros da equipe.,Desenvolvimento Ágil,Como a prática de programação em pares apoia a refatoração de código?,Letra C,0
66a80c6938b1093974273e6d,Aumenta a competição entre os programadores.,Aumenta o tempo necessário para revisão de código.,Apoia a ideia de propriedade e responsabilidade coletiva para o sistema.,Diminui a interação entre os membros da equipe de desenvolvimento,Desenvolvimento Ágil,Qual é uma das vantagens da prática de programação em pares no Extreme Programming (XP)?,Letra C,0
66a80c7d38b1093974273e6f, Quando se trabalha com uma equipe altamente distribuída.,Quando se desenvolve um sistema com regulamentação externa.,Quando se espera um tempo de vida longo para o sistema.,Quando se requer uma análise detalhada antes da implementação.,Desenvolvimento Ágil,Em que circunstância uma abordagem ágil pode ser preferível?,Letra A,0
66a80c8f38b1093974273e71,Documentação extensiva e especificação detalhada do sistema.,Implementação do sistema como uma única unidade.,"Intercalação dos processos de especificação, projeto e implementação.",Envolvimento dos clientes apenas no final do processo de desenvolvimento.,Desenvolvimento Ágil,Quais são algumas das características fundamentais dos processos de desenvolvimento rápido de software?,Letra C,0
66a80ca138b1093974273e73,Implementação de grandes incrementos do sistema a cada seis meses., Minimização do envolvimento dos clientes no processo de desenvolvimento,Desenvolvimento incremental com pequenos incrementos e envolvimento dos clientes para obter feedback.,Documentação detalhada dos requisitos do usuário antes do início do desenvolvimento.,Desenvolvimento Ágil,O que os métodos ágeis têm em comum com os processos de desenvolvimento rápido de software?,Letra C,0
66a80cb338b1093974273e75,Priorizando a documentação extensiva do projeto.,Identificando e eliminando desperdícios nos processos,Limitando a colaboração entre os membros da equipe,Enfatizando a rigidez no planejamento do projeto.,Desenvolvimento Ágil,Como o método Lean contribui para a gestão de projetos?,Letra B,0
66a80cc338b1093974273e77,Enfatizar a necessidade de especificação detalhada do sistema,"Promover a visualização do trabalho, a limitação do trabalho em progresso e a melhoria contínua do processo.",Estabelecer iterações de trabalho fixas para a entrega de valor contínua., Fornecer orientações específicas para escalar o Scrum em ambientes de grande porte.,Desenvolvimento Ágil,Qual é a função do framework Kanban no contexto ágil?,Letra B,0
66a80cf338b1093974273e79,Padronização rígida de processos.,Comunicação efetiva e trabalho em equipe.,Adesão estrita a uma única metodologia ágil,"Rápida entrega de software, independentemente da qualidade.",Desenvolvimento Ágil,Qual é um dos principais valores promovidos pelo Crystal?,Letra B,0
66a80d0938b1093974273e7b,Priorizar a velocidade em detrimento da qualidade.,Promover a entrega contínua de software de alta qualidade.,Ignorar as necessidades específicas do cliente.,Aplicar uma abordagem única e inflexível em todos os projetos. 46. Qual dessas não é uma das seis funções importantes cumpridas pela,Desenvolvimento Ágil,Qual é um dos objetivos do Crystal em relação à entrega de software?,Letra D,0
66a80d3d38b1093974273e7d,Adaptabilidade,Feedback contínuo,Centralização,Experimentação e aprendizado,Desenvolvimento Ágil,Qual dessas não é uma das seis funções importantes cumpridas pelas metodologias ágeis?,Letra C,0
66a80d5138b1093974273e7f,"Reduzir custos, aumentar a burocracia, minimizar o feedback e focar na velocidade.","Reduzir desperdícios, promover a estagnação, priorizar a quantidade sobre a qualidade e minimizar os testes.","Priorizar a documentação extensiva, manter processos inflexíveis, focar na previsibilidade e minimizar a colaboração","Reduzir desperdícios, promover a melhoria contínua, priorizar a qualidade e garantir a entrega contínua de valor. ",Desenvolvimento Ágil,Quais são os quatro principais objetivos da metodologia ágil?,Letra D,0
66a80d6438b1093974273e81,Abordagem rígida e inflexível.,Iteratividade e incrementos de trabalho.,Ênfase na documentação extensiva.,Longos períodos de entrega de software,Desenvolvimento Ágil,Qual é uma das características fundamentais dos métodos ágeis em relação ao desenvolvimento de software?,Letra B,0
